date,category,amount,description
2026-01-01,Food,25.5,Lunch at cafe
2026-01-02,Transport,10,Taxi ride
2026-01-03,Shopping,200,New shoes
2026-01-04,Food,15.75,Coffee and pastry
2026-01-05,Entertainment,50,Movie tickets
2026-01-06,Utilities,120,Electric bill
2026-01-07,Food,32.5,Dinner
2026-01-08,Transport,25,Gas
2026-01-09,Shopping,85,Groceries
2026-01-10,Food,18.99,Breakfast
2026-01-11,Entertainment,75,Concert ticket
2026-01-12,Transport,12,Bus fare
2026-01-13,Food,45,Restaurant dinner
2026-01-14,Shopping,150,Winter jacket
2026-01-15,Utilities,80,Internet bill
2026-01-16,Food,22.5,Lunch
2026-01-17,Transport,30,Uber
2026-01-18,Shopping,500,Electronics
2026-01-19,Food,28,Dinner
2026-01-20,Entertainment,40,Streaming subscription
